timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510562853,720334.9048,721586.0086,1149,1150.259573,1149,-1.39E-13,0,717700,179
1510562864,720963.8095,721695.9914,1149,1149.759573,1149,-1.39E-13,0,716500,180
1510562988,720737.8095,721593.643,1142,1149.67624,1147.833333,-0.999999971,0,717428,181
1510563006,720715.7143,721586.6581,1146,1149.67624,1148.5,-0.59999999,0,717544,182
1510563019,717877.619,721542.514,1146,1149.509573,1146.833333,-0.885714261,0,716001,183
1510563027,717542.2381,721662.0215,1150,1149.153876,1147,1.86E-08,-2,716135,184
1510563036,716994.8095,721728.0065,1147,1148.798179,1146.666667,0.400000007,0,716905,185
1510563047,717115.7143,721767.5505,1150,1148.714846,1146.833333,1.342857133,0,717000,186
1510563063,716576.8095,721750.5935,1165.844289,1148.048179,1150.807381,3.092041254,0,717591,187
1510563057,716618.3333,721763.7204,1155,1148.048179,1149,1.54285715,1,717373,188
1510563074,716421.8095,721534.8022,1165.844289,1147.381512,1155.614763,3.401878068,0,717669,189
1510563086,717084.7143,721289.4839,1161.000001,1147.732423,1157.448096,3.048245272,1,717052,190
1510563095,717331.1905,720981.1333,1165.844289,1147.833333,1160.588811,2.158082012,0,717231,191
1510563104,717569.8571,720547.0172,1165.844289,1147.916667,1163.229526,0.791102253,0,717184,192
1510563114,717490.9048,720161.8452,1170,1149.320357,1163.922145,2.281265352,1,716921,193
1510563137,717666.3333,720217.3032,1175,1149.320357,1164.755478,2.995551062,0,716000,194
1510563137,717389.619,719699.7849,1175,1151.224048,1168.78143,2.903509654,0,716000,195
1510563144,717341.619,719537.1935,1175,1152.224048,1171.114763,2.235591141,1,715861,196
1510563154,717032.1429,719372.7247,1175,1153.627739,1172.640715,1.736530175,0,715714,197
1510563164,716659.1905,719168.8624,1175,1155.03143,1174.166667,0.714285709,0,715074,198
1510563172,716068.5238,719218.8774,1175,1157.364763,1175,-1.71E-09,1,715555,199
1510563183,715880.5238,719198.9269,1175,1159.78143,1175,-2.86E-09,0,715640,200
1510563196,715516.3333,719121.929,1175,1162.198096,1175,1.39E-13,0,716295,201
1510563207,715239.5238,719034.957,1174,1164.28143,1174.833333,-0.142857139,1,716544,202
1510563215,715092.5714,718860.0602,1174,1166.614763,1174.666667,-0.228571422,0,716889,203
1510563223,715411.9524,718556.1914,1174,1168.698096,1174.5,-0.257142849,0,717562,204
1510563223,715766.0952,718183.9548,1170,1169.461072,1173.666667,-0.799999993,0,717562,205
1510563243,716311.2381,717568.086,1170,1171.127739,1172.833333,-1.057142853,0,717767,206
1510563253,716527,717006.1075,1175,1171.890715,1172.833333,-0.314285714,0,718799,207
1510563265,716895.2381,716722.7312,1174,1172.974048,1172.833333,0.085714286,-2,719005,208
1510563275,717559.1429,716541.129,1175,1173.653691,1173,0.628571429,0,718091,209
1510563284,717963.4286,716527.529,1175,1174.333333,1173.166667,1.114285717,0,718000,210
1510563297,718559.619,716440.7591,1175,1174.333333,1174,0.742857147,-2,717321,211
1510563305,718969.8571,716333.1355,1185,1173.916667,1176.5,1.514285717,0,717399,212
1510563316,718639.3333,716430.2495,1185,1173.916667,1178.166667,2.428571429,0,717400,213
1510563316,717971.619,716518.5226,1188,1173.833333,1180.5,2.999999998,0,717400,214
1510563337,717921.0952,716587.2581,1185,1173.833333,1182.166667,2.542857138,0,716155,215
1510563337,717654.6667,716638.4882,1190,1173.833333,1184.666667,2.228571424,0,716155,216
1510563358,717787.619,716671.9441,1190,1173.833333,1187.166667,1.057142855,1,715051,217
1510563363,717607.9048,716738.1914,1188,1174.666667,1187.666667,0.742857142,0,714717,218
1510563374,716949.5238,716717.8495,1188,1175.5,1188.166667,0.257142857,0,715215,219
1510563384,715947,716753.8258,1188,1176.666667,1188.166667,0.200000001,1,715383,220
1510563394,715389.1905,716724.4581,1188,1177.583333,1188.666667,-0.457142855,0,715893,221
1510563403,714964.0476,716746.4968,1190,1178.916667,1188.666667,1.43E-09,0,715000,222
1510563413,715151.8095,716802.7591,1193.015873,1180.583333,1189.169312,0.887981859,1,714780,223
1510563423,715655.3333,717009.6774,1190,1182.083333,1189.502646,0.772789115,0,714088,224
